User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1000346,P00042742,F,26-35,0,B,2,0,5,14,,8685
1000346,P00284742,F,26-35,0,B,2,0,5,12,,8691
1000346,P00131542,F,26-35,0,B,2,0,8,12,,10032
1000347,P00052642,F,55+,1,A,1,0,5,14,,7175
1000348,P00337142,M,51-55,7,B,2,1,12,,,347
1000348,P00178142,M,51-55,7,B,2,1,8,17,,8118
1000349,P00210542,M,0-17,10,C,0,0,5,,,1991
1000349,P00293242,M,0-17,10,C,0,0,8,16,,10039
1000350,P00174442,M,46-50,20,C,3,0,5,,,8611
1000351,P0097242,M,18-25,4,A,4+,0,1,16,,7668
1000352,P00195042,M,18-25,4,A,0,0,6,8,14,12186
1000352,P0098742,M,18-25,4,A,0,0,8,,,8125
1000352,P00041842,M,18-25,4,A,0,0,6,8,,16379
1000352,P00040942,M,18-25,4,A,0,0,16,,,12609
1000355,P00028842,M,18-25,3,B,2,0,6,8,,16672
1000355,P00305342,M,18-25,3,B,2,0,5,,,6892
1000355,P00006442,M,18-25,3,B,2,0,5,,,5209
1000355,P00296242,M,18-25,3,B,2,0,8,,,7972
1000356,P00326742,M,55+,20,C,0,1,11,,,7550
1000360,P00294242,M,36-45,17,C,1,0,4,5,,2836
1000362,P00147942,M,36-45,20,B,1,0,1,16,,11488
1000369,P00189842,M,36-45,1,B,2,0,3,4,5,5362
1000376,P00304842,M,36-45,1,C,4+,1,8,,,9697
1000380,P00112142,M,26-35,2,C,1,0,1,2,14,15818
1000380,P00335242,M,26-35,2,C,1,0,5,8,,5152
1000384,P00111242,M,26-35,11,B,3,1,1,18,,19470
1000386,P00061542,M,26-35,0,A,1,1,5,,,3500
1000394,P00044442,M,18-25,0,C,1,0,1,16,,11858
1000396,P00158542,M,26-35,1,C,1,0,5,6,13,7147
1000398,P00101842,M,26-35,17,B,3,1,6,16,,16238
1000399,P00255742,F,36-45,6,B,1,1,3,4,,10613
1000399,P00300042,F,36-45,6,B,1,1,16,,,16341
1000402,P00267542,M,26-35,11,B,1,1,1,16,,7768
1000403,P00046142,M,18-25,4,A,2,0,1,16,,15874
1000403,P00130442,M,18-25,4,A,2,0,3,5,,10753
1000403,P00044142,M,18-25,4,A,2,0,8,16,,8076
1000406,P00240442,M,26-35,20,A,3,0,6,16,,4091
1000406,P00121642,M,26-35,20,A,3,0,5,14,,5263
1000408,P00117442,M,26-35,11,A,0,0,5,14,,6970
1000409,P00104942,M,18-25,12,B,4+,0,5,,,6954
1000409,P00126142,M,18-25,12,B,4+,0,8,16,,7775
1000411,P00057942,F,46-50,1,B,0,1,1,2,6,11729
1000413,P00121142,M,26-35,11,C,0,0,8,,,9951
1000415,P00221442,F,36-45,0,A,2,1,1,2,5,11531
1000415,P00021742,F,36-45,0,A,2,1,5,,,7118
1000415,P00085342,F,36-45,0,A,2,1,10,13,,19030
1000422,P00279442,M,55+,17,A,4+,0,16,,,16261
1000424,P00089342,M,26-35,17,A,3,0,8,,,9847
1000424,P00146142,M,26-35,17,A,3,0,1,2,15,11947
1000424,P00335242,M,26-35,17,A,3,0,5,8,,7145
1000426,P00240442,M,18-25,4,A,1,1,6,16,,12040
1000426,P00002142,M,18-25,4,A,1,1,1,5,8,15169
1000429,P00145442,M,18-25,0,C,1,0,8,15,,9746
1000429,P00015742,M,18-25,0,C,1,0,7,,,12661
1000430,P00120342,F,18-25,10,C,1,1,5,17,,7129
1000434,P00288442,F,46-50,3,C,1,0,5,14,,3427
1000434,P00122542,F,46-50,3,C,1,0,11,,,4582
1000439,P00297342,M,36-45,14,B,3,1,5,,,3612
1000442,P00199442,M,26-35,1,A,2,0,5,9,,5242
1000442,P00221542,M,26-35,1,A,2,0,5,15,,7083
1000443,P00085242,M,26-35,3,A,0,1,8,14,17,9792
1000446,P00033642,F,51-55,0,C,2,0,5,8,,8617
1000452,P00041942,M,51-55,17,A,3,1,5,18,,7139
1000453,P00302042,M,18-25,4,B,1,0,5,,,5317
1000456,P00118142,M,36-45,0,A,0,0,8,17,,9795
1000456,P00221542,M,36-45,0,A,0,0,5,15,,5280
1000457,P00250842,M,18-25,4,B,2,0,8,,,7858
1000457,P00220442,M,18-25,4,B,2,0,5,14,,5359
1000457,P00046742,M,18-25,4,B,2,0,1,2,15,15178
1000457,P00120742,M,18-25,4,B,2,0,8,12,17,7874
1000457,P00054242,M,18-25,4,B,2,0,1,6,14,11935
1000457,P00001642,M,18-25,4,B,2,0,8,16,,5903
1000461,P00042342,M,51-55,7,B,0,0,8,16,,6102
1000461,P00271542,M,51-55,7,B,0,0,18,,,2302
1000462,P00113142,M,18-25,16,C,1,1,1,5,12,19659
1000462,P0097842,M,18-25,16,C,1,1,5,,,5321
1000466,P00086342,M,26-35,5,A,2,0,8,,,9737
1000466,P00031742,M,26-35,5,A,2,0,8,,,7795
1000469,P00177142,M,36-45,6,B,0,1,8,13,,9823
1000470,P00174042,F,0-17,10,C,2,0,4,5,,2070
1000474,P00211442,M,26-35,17,B,1,0,8,,,5972
1000474,P00093642,M,26-35,17,B,1,0,6,,,16476
1000474,P00027642,M,26-35,17,B,1,0,8,,,4254
1000482,P0098442,M,26-35,14,A,2,1,7,8,,20485
1000482,P00221242,M,26-35,14,A,2,1,1,17,,8172
1000482,P00022842,M,26-35,14,A,2,1,5,,,3473
1000483,P00086442,M,18-25,12,A,4+,0,8,13,15,7763
1000490,P00145442,M,0-17,10,B,1,0,8,15,,3938
1000496,P00334242,M,18-25,4,A,3,0,1,8,,19169
1000496,P00004742,M,18-25,4,A,3,0,6,16,,20634
1000498,P00071442,M,36-45,17,A,1,0,15,17,,21179
1000499,P00313342,F,26-35,1,A,1,0,5,,,7125
1000501,P00351342,M,26-35,2,C,4+,1,1,2,16,4202
1000506,P00250342,M,26-35,16,C,1,0,16,,,16276
1000509,P00247042,M,26-35,2,A,0,1,5,14,,5230
1000509,P00070342,M,26-35,2,A,0,1,1,2,14,7860
1000509,P00102142,M,26-35,2,A,0,1,13,16,,581
1000510,P00251642,M,18-25,12,C,3,0,1,2,4,19340
1000514,P00021742,M,26-35,2,A,1,1,5,,,8576
1000516,P00169442,F,55+,14,C,2,0,8,,,9883
1000517,P00138842,F,26-35,14,A,1,0,5,,,3693
1000524,P00156742,M,18-25,0,A,0,0,5,6,8,3634
1000524,P0097142,M,18-25,0,A,0,0,12,,,1736
1000529,P00320442,M,36-45,12,C,1,0,6,10,,16660
1000530,P00127842,M,26-35,2,A,1,1,1,2,15,11709
1000531,P00331942,F,18-25,14,B,0,0,5,,,5278
1000531,P00274942,F,18-25,14,B,0,0,8,,,8011
1000541,P00145042,F,18-25,4,C,3,0,1,2,5,19013
1000543,P00057742,M,26-35,5,B,4+,1,2,8,18,16002
1000543,P00135842,M,26-35,5,B,4+,1,5,14,,5384
1000547,P00145442,M,36-45,12,B,3,0,8,15,,9997
1000548,P00188442,F,36-45,16,C,1,1,5,7,,8858
1000549,P00113442,M,26-35,6,A,3,0,3,5,,13414
1000549,P00071242,M,26-35,6,A,3,0,1,15,16,15239
1000549,P00009342,M,26-35,6,A,3,0,1,16,,12116
1000550,P00345742,M,46-50,8,B,1,1,1,2,15,15767
1000550,P00004542,M,46-50,8,B,1,1,5,8,,7165
1000551,P00205442,M,36-45,20,A,4+,1,5,8,14,6881
1000551,P00159442,M,36-45,20,A,4+,1,5,8,,5164
1000556,P00120542,F,26-35,9,B,4+,0,8,14,,5880
1000563,P00178842,M,26-35,4,A,3,0,2,4,9,9925
1000565,P00210042,M,26-35,16,B,0,0,8,14,,5841
1000566,P00200642,M,26-35,17,A,3,0,10,16,,13837
1000566,P00201342,M,26-35,17,A,3,0,1,2,9,11887
1000569,P00302442,F,18-25,4,C,3,1,5,6,,7064
1000569,P00251942,F,18-25,4,C,3,1,1,2,5,15361
1000575,P00241542,M,26-35,12,B,0,1,1,6,,11919
1000585,P00361942,M,18-25,1,A,1,0,1,2,15,19598
1000587,P00357042,M,26-35,20,B,3,0,5,,,7129
1000588,P00296042,F,26-35,11,B,1,0,8,13,16,9722
1000591,P00003942,M,26-35,0,C,1,0,5,14,,3736
1000594,P00100842,F,55+,13,B,3,0,5,,,5250
1000601,P00285842,F,18-25,20,B,3,1,5,,,5235
1000605,P00173042,F,18-25,4,C,0,0,13,15,16,951
1000608,P00034742,M,18-25,4,C,3,1,5,14,17,6891
1000609,P00025442,M,26-35,7,B,1,0,1,2,9,19091
1000615,P00177442,M,51-55,17,C,3,0,1,6,8,15603
1000616,P00084842,M,26-35,7,B,2,0,8,16,,10016
1000620,P00070742,M,18-25,0,A,3,0,5,,,3434
1000622,P00024042,M,26-35,0,B,1,1,7,,,16509
1000625,P00108642,F,36-45,12,C,2,1,8,,,1985
1000628,P00303042,F,36-45,0,C,2,0,5,,,5432
1000632,P00145042,M,46-50,17,C,2,0,1,2,5,12071
1000633,P00330342,M,26-35,17,B,4+,0,5,11,16,6958
1000634,P00151842,F,0-17,10,C,4+,0,4,8,9,2868
1000635,P00015942,M,55+,17,C,4+,1,6,10,13,16694
1000635,P00285842,M,55+,17,C,4+,1,5,,,3478
1000635,P00176942,M,55+,17,C,4+,1,5,,,8677
1000637,P00078442,M,36-45,12,B,2,1,8,,,5927
1000638,P00351142,M,26-35,6,C,1,1,1,8,17,15737
1000639,P00368142,M,46-50,17,B,2,1,2,15,,12754
1000639,P00102842,M,46-50,17,B,2,1,8,,,7879
1000644,P00304142,M,26-35,20,C,2,1,5,11,,8758
1000646,P00299542,M,36-45,7,C,2,0,8,,,7989
1000646,P00028042,M,36-45,7,C,2,0,1,16,,4417
1000648,P00129442,F,26-35,12,B,1,1,5,8,,6873
1000648,P00338542,F,26-35,12,B,1,1,1,,,15224
1000651,P00228442,M,36-45,7,B,2,0,1,17,,11389
1000651,P00246742,M,36-45,7,B,2,0,11,15,,3205
1000655,P00029742,F,26-35,2,B,2,0,5,,,3435
1000656,P00116742,F,46-50,16,C,3,1,11,,,5981
1000656,P00120142,F,46-50,16,C,3,1,5,,,8663
1000662,P00277642,M,18-25,4,B,2,0,2,3,10,13220
1000664,P00010742,M,36-45,18,C,2,1,1,8,17,19400
1000666,P00303742,F,18-25,0,C,2,0,8,,,5885
1000669,P00036242,M,26-35,17,B,2,0,5,8,,6943
1000669,P00260042,M,26-35,17,B,2,0,5,8,,8713
1000669,P00110742,M,26-35,17,B,2,0,1,2,8,19439
1000669,P00358442,M,26-35,17,B,2,0,1,15,,11669
1000671,P00350942,M,18-25,4,C,0,0,3,4,5,10787
1000673,P00360742,M,26-35,20,A,4+,0,5,,,5433
1000673,P00078742,M,26-35,20,A,4+,0,5,8,14,1718
1000674,P00112542,M,26-35,17,C,4+,0,1,11,15,15572
1000676,P00080042,M,18-25,16,B,1,1,5,14,,3709
1000676,P00259342,M,18-25,16,B,1,1,5,9,,5325
1000678,P00283542,M,26-35,0,A,0,1,5,,,5276
1000678,P00139542,M,26-35,0,A,0,1,5,,,6912
1000678,P00031842,M,26-35,0,A,0,1,1,5,12,8048
1000685,P00303042,M,26-35,4,A,1,1,5,,,5433
1000687,P00209842,F,26-35,7,C,4+,0,5,8,,7037
1000692,P00183442,F,26-35,0,A,0,1,1,2,,15518
1000692,P00115242,F,26-35,0,A,0,1,5,8,,8748
1000692,P00119542,F,26-35,0,A,0,1,8,14,,6104
1000698,P00069042,M,18-25,4,A,1,0,3,,,8009
1000701,P00021742,F,18-25,4,B,0,0,5,,,6865
1000702,P00360042,M,36-45,7,B,2,1,8,,,3977
1000702,P00216042,M,36-45,7,B,2,1,5,8,,6889
1000702,P00183242,M,36-45,7,B,2,1,5,15,,3492
1000702,P0095742,M,36-45,7,B,2,1,4,5,,2156
1000706,P00214142,M,36-45,20,B,2,0,8,,,9965
1000710,P00350942,M,26-35,20,A,4+,0,3,4,5,10911
1000710,P00116742,M,26-35,20,A,4+,0,11,,,5985
1000710,P00263542,M,26-35,20,A,4+,0,16,,,16411
1000710,P00258442,M,26-35,20,A,4+,0,5,,,6860
1000712,P00241642,M,26-35,0,B,2,0,1,2,11,11763
1000712,P00174142,M,26-35,0,B,2,0,3,4,9,8194
1000712,P00150942,M,26-35,0,B,2,0,6,11,13,16258
1000713,P00277442,M,36-45,7,B,3,0,1,6,15,11957
1000713,P00110942,M,36-45,7,B,3,0,1,2,,19203
1000713,P00201442,M,36-45,7,B,3,0,1,6,8,11435
1000713,P00145642,M,36-45,7,B,3,0,1,8,17,11986
1000714,P00024742,M,18-25,4,B,2,0,8,11,,9993
1000715,P00190142,M,18-25,0,B,1,0,3,4,5,8436
1000721,P00182742,F,36-45,9,B,1,0,1,2,14,15237
1000721,P00267542,F,36-45,9,B,1,0,1,16,,19453
1000721,P00207342,F,36-45,9,B,1,0,5,8,14,7165
1000723,P00021742,M,26-35,12,C,3,1,5,,,8874
1000726,P00283342,F,26-35,9,C,0,1,5,14,,6869
1000728,P00150342,M,26-35,6,C,4+,0,8,14,,7875
1000730,P00046142,M,26-35,0,C,4+,1,1,16,,15647
1000731,P00003442,M,46-50,3,A,0,1,4,5,8,3502
1000732,P00199442,M,26-35,7,B,4+,0,5,9,,1881
1000733,P00110942,M,36-45,16,C,1,1,1,2,,11862
1000735,P00129542,M,26-35,14,A,3,0,8,14,,7989
1000735,P00120042,M,26-35,14,A,3,0,1,2,,15605
1000737,P00238542,M,0-17,19,A,2,0,5,14,,3694
1000741,P00017242,M,26-35,5,C,1,1,11,,,3062
1000743,P00247742,F,0-17,2,A,2,0,8,,,8000
1000746,P00021242,F,18-25,19,B,3,0,8,16,,2164
1000752,P00006142,F,26-35,3,A,3,0,8,,,2196
1000752,P00010242,F,26-35,3,A,3,0,5,,,5433
1000752,P00297042,F,26-35,3,A,3,0,8,,,4189
1000753,P00057642,M,0-17,10,C,1,0,1,15,16,15363
1000754,P00294042,M,36-45,7,C,3,0,8,14,,6069
1000756,P00025442,M,36-45,0,C,2,0,1,2,9,11985
1000757,P00058042,M,26-35,12,A,1,0,8,16,,9736
1000757,P00222842,M,26-35,12,A,1,0,8,,,6090
1000757,P00238442,M,26-35,12,A,1,0,6,,,16087
1000757,P00120042,M,26-35,12,A,1,0,1,2,,19396
1000757,P00259242,M,26-35,12,A,1,0,5,,,5226
1000757,P00196042,M,26-35,12,A,1,0,4,9,15,2118
1000764,P0096842,M,18-25,20,C,2,0,3,4,12,13495
1000765,P00275842,M,26-35,17,B,1,0,2,9,15,6476
1000765,P00304042,M,26-35,17,B,1,0,5,,,5290
1000766,P00121642,F,26-35,7,C,3,1,5,14,,8755
1000770,P00302442,M,18-25,4,B,2,1,5,6,,3763
1000770,P00277842,M,18-25,4,B,2,1,1,,,11854
1000777,P00346042,M,18-25,19,B,1,0,6,8,15,4445
1000777,P00120042,M,18-25,19,B,1,0,1,2,,15630
1000777,P00218342,M,18-25,19,B,1,0,5,,,5254
1000779,P00275142,M,26-35,0,B,2,1,5,8,,5167
1000780,P00057642,M,26-35,17,B,3,0,1,15,16,15556
1000788,P00178842,M,26-35,0,C,1,0,2,4,9,13200
1000791,P00058042,M,36-45,7,B,1,0,8,16,,9898
1000791,P00117942,M,36-45,7,B,1,0,5,15,,8588
1000792,P00249542,M,26-35,17,B,2,0,1,5,15,7920
1000792,P00249142,M,26-35,17,B,2,0,5,,,3702
1000793,P00146842,F,36-45,14,C,1,0,6,8,16,12060
1000793,P00351142,F,36-45,14,C,1,0,1,8,17,15590
1000794,P00196542,M,51-55,20,C,2,1,5,8,14,7009
1000796,P00292042,M,51-55,6,B,4+,1,8,,,6104
1000797,P00121642,F,51-55,7,C,1,0,5,14,,7173
1000798,P00122542,F,26-35,20,C,1,1,11,,,1626
1000801,P00192542,F,26-35,20,C,4+,0,1,2,9,8335
1000802,P00223242,M,26-35,16,B,1,0,5,14,,8860
1000806,P00085942,M,36-45,0,C,3,1,2,4,8,15924
1000809,P00115842,M,26-35,17,C,1,0,16,,,20340
1000810,P00184942,M,26-35,12,C,4+,0,1,8,17,19105
1000810,P00127242,M,26-35,12,C,4+,0,1,16,,15169
1000812,P00279342,M,26-35,6,C,2,0,5,14,,7161
1000818,P00295942,M,18-25,4,C,2,0,2,5,15,10054
1000824,P00116742,M,36-45,12,A,2,1,11,,,5937
1000824,P00327542,M,36-45,12,A,2,1,5,,,6903
1000825,P00252842,M,55+,1,C,4+,1,8,,,2099
1000826,P00106642,F,36-45,1,C,1,1,7,,,16801
1000829,P00117442,M,0-17,19,A,2,0,5,14,,3664
